rank,name,nota
734,Diplomacy,7.04
735,Shipyard,7.35
736,Between Two Cities,6.99
737,Middle-Earth Quest,7.38
738,Coal Baron,7.29
739,Wits & Wagers,6.93
740,Bloodborne: The Board Game,7.86
741,Akropolis,7.60
742,The Guild of Merchant Explorers,7.77
743,Eminent Domain,6.99
744,Crystal Palace,7.54
745,New Frontiers,7.45
746,Unlock!: Timeless Adventures,7.80
747,Empires: Age of Discovery,7.85
748,CO₂: Second Chance,7.56
749,Blue Moon City,7.04
750,The Bloody Inn,7.05
751,Reef,7.03
752,New York Zoo,7.14
753,Ex Libris,7.15
754,Cry Havoc,7.15
755,Caverna: Cave vs Cave,7.12
756,Empire of the Sun,8.27
757,Kanagawa,7.05
758,Ticket to Ride: Rails & Sails,7.42
759,Azul: Queen's Garden,7.53
760,Warhammer: Invasion,7.23
761,World Without End,7.24
762,The Shipwreck Arcana,7.48
763,Rhino Hero: Super Battle,7.25
764,Saint Petersburg (Second Edition),7.47
765,Super Motherload,7.36
766,Space Hulk,7.48
767,Deep Sea Adventure,6.93
768,Up Front,7.88
769,Dogs of War,7.52
770,Warp's Edge,7.76
771,Arcadia Quest: Inferno,7.91
772,The Duke,7.34
773,My Father's Work,7.97
774,Blokus,6.86
775,Vast: The Crystal Caverns,7.13
776,Can't Stop,6.88
777,Finca,7.06
778,Black Angel,7.29
779,878 Vikings: Invasions of England,7.51
780,Menara,7.45
781,Crown of Emara,7.41
782,Zombicide Season 2: Prison Outbreak,7.36
783,Exit: The Game – The Secret Lab,7.07
784,Turing Machine,7.95
785,Railroad Ink: Blazing Red Edition,7.11
786,The Adventures of Robin Hood,7.58
787,Perudo,6.91
788,FUSE,7.02
789,King of New York,6.90
790,Panamax,7.31
791,1989: Dawn of Freedom,7.79
792,Ricochet Robots,7.02
793,Unmatched: Jurassic Park – InGen vs Raptors,8.13
794,Dungeons & Dragons: The Legend of Drizzt Board Game,7.22
795,"Heroes of Land, Air & Sea",7.61
796,Among the Stars,7.04
797,Dice Hospital,7.14
798,Living Forest,7.31
799,Tang Garden,7.41
800,The Lord of the Rings: The Card Game – Revised Core Set,8.51
801,Red7,6.88
802,Squad Leader,7.54
803,Paris: La Cité de la Lumière,7.34
804,Jambo,7.00
805,Railroad Ink Challenge: Lush Green Edition,7.69
806,Gentes,7.42
807,The Pursuit of Happiness,7.17
808,Lords of Xidit,7.10
809,Bullet♥︎,7.68
810,Not Alone,6.98
811,Fugitive,7.17
812,Tribune: Primus Inter Pares,7.22
813,Outlive,7.30
814,Star Trek: Fleet Captains,7.48
815,Unfair,7.32
816,Cerebria: The Inside World,7.77
817,Yedo,7.37
818,Incan Gold,6.83
819,Tammany Hall,7.29
820,One Deck Dungeon,6.97
821,Vasco da Gama,7.22
822,Washington's War,7.62
823,XCOM: The Board Game,7.01
824,Brian Boru: High King of Ireland,7.59
825,Celestia,6.95
826,"13 Days: The Cuban Missile Crisis, 1962",7.24
827,Scoville,7.13
828,Reef Encounter,7.14
829,7 Wonders: Architects,7.05
830,Weather Machine,7.92
831,Rurik: Dawn of Kiev,7.81
832,Wizard,6.95
833,Pandemic: Rising Tide,7.57
834,Messina 1347,7.67
835,Star Wars: The Card Game,7.18
836,Dale of Merchants,7.17
837,Combat Commander: Pacific,8.11
838,Tumblin' Dice,7.21
839,Friedrich,7.57
840,ZÈRTZ,7.26
841,Disney Villainous: Perfectly Wretched,7.68
842,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
843,Blue Lagoon,7.19
844,Letter Jam,7.23
845,Hannibal & Hamilcar,8.31
846,Santiago,7.13
847,Napoleon's Triumph,8.00
848,Morels,6.98
849,SpaceCorp: 2025-2300AD,7.69
850,Summoner Wars: Alliances Master Set,8.05
851,Dominant Species: Marine,8.04
852,Star Wars: The Deckbuilding Game,8.05
853,Raccoon Tycoon,7.31
854,Frostpunk: The Board Game,8.35
855,Babylonia,7.67
856,Spyrium,7.04
857,Hyperborea,7.18
858,Battle for Rokugan,7.43
859,Carcassonne: The City,7.21
860,Spyfall,6.80
861,Forbidden Island,6.77
862,Merchants Cove,7.54
863,Marvel Dice Masters: Avengers vs. X-Men,7.11
864,Maquis,7.45
865,Union Pacific,7.20
866,Last Bastion,7.51
867,Tajemnicze Domostwo,7.12
868,The Lost Expedition,7.05
869,Rhino Hero,6.92
870,A War of Whispers,7.37
871,The Mind,6.79
872,Parade,6.99
873,Twilight Inscription,7.64
874,Detective Club,7.36
875,Ca$h 'n Guns: Second Edition,6.85
876,Thunderstone,6.92
877,The Palaces of Carrara,7.15
878,Container,7.15
879,Tinners' Trail,7.22
880,Roll Through the Ages: The Bronze Age,6.86
881,San Marco,7.18
882,Qwixx,6.87
883,Catacombs (Third Edition),7.50
884,Brew Crafters,7.40
885,Werewords,7.14
886,Last Night on Earth: The Zombie Game,6.91
887,Circadians: First Light,7.58
888,Red Rising,7.07
889,Akrotiri,7.19
890,Clinic: Deluxe Edition,7.65
891,Signorie,7.40
892,Lacrimosa,7.84
893,Khôra: Rise of an Empire,7.48
894,Formula Dé,6.99
895,Mahjong,7.04
896,Pictomania,7.26
897,Genoa,7.05
898,Kitchen Rush,7.25
899,Luxor,7.20
900,Warhammer Underworlds: Shadespire,7.65
901,Witchstone,7.60
902,Abomination: The Heir of Frankenstein,7.47
903,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.50
904,Maharaja: The Game of Palace Building in India,7.10
905,Homesteaders,7.20
906,Virgin Queen,8.02
907,Lanterns: The Harvest Festival,6.88
908,Lovecraft Letter,7.21
909,Tragedy Looper,7.18
910,Bridge,7.45
911,Call to Adventure,7.12
912,Roam,7.32
913,Thunder Alley,7.31
914,Nightmare Productions,7.05
915,Jaws,7.14
916,Zombicide: Invader,7.83
917,Palm Island,7.10
918,Dinosaur World,7.43
919,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.92
920,Ohanami,7.32
921,Coffee Roaster,7.38
922,Adrenaline,7.01
923,Legendary: A Marvel Deck Building Game – Villains,7.54
924,Wasteland Express Delivery Service,7.35
925,Louis XIV,7.05
926,The Others,7.32
927,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
928,Istanbul: The Dice Game,7.16
929,Unlock!: Epic Adventures,7.76
930,Heroscape Master Set: Swarm of the Marro,7.63
931,Three Sisters,7.63
932,Attika,6.99
933,Black Sonata,7.48
934,Smash Up: Science Fiction Double Feature,7.26
935,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.10
936,Caylus 1303,7.48
937,Zooloretto,6.80
938,Core Worlds,7.15
939,Web of Power,7.30
940,Tiny Epic Quest,6.99
941,Kingsburg (Second Edition),7.43
942,Clever Cubed,7.55
943,Qwirkle,6.78
944,Britannia,7.19
945,Meeple Circus,7.05
946,Tak,7.60
947,Snow Tails,6.97
948,5-Minute Dungeon,6.96
949,Concept,6.77
950,DinoGenics,7.62
951,Fabled Fruit,7.00
952,The Castles of Burgundy: The Card Game,6.96
953,Ascension: Storm of Souls,7.28
954,Summoner Wars: Guild Dwarves vs Cave Goblins,7.56
955,Legacy: The Testament of Duke de Crecy,7.14
956,Condottiere,6.87
957,Age of Industry,7.35
958,Orchard: A 9 card solitaire game,7.39
959,The Grimm Forest,7.09
960,Lowlands,7.40
961,DC Comics Deck-Building Game,7.03
962,Tiny Epic Dungeons,7.59
963,Tidal Blades: Heroes of the Reef,7.57
964,Hawaii,7.11
965,Santa Monica,7.22
966,High Frontier 4 All,8.49
967,Brazil: Imperial,7.74
968,Darwin's Journey,8.17
969,Massive Darkness 2: Hellscape,8.09
970,Gold West,7.32
971,Mosaic: A Story of Civilization,7.71
972,Flick 'em Up!,6.87
973,Cat Lady,7.04
974,"Unmatched: Battle of Legends, Volume Two",8.39
975,The Speicherstadt,7.03
